Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.28,2022
1,ANCASH,0.215,2022
2,APURIMAC,0.247,2022
3,AREQUIPA,0.137,2022
4,AYACUCHO,0.405,2022
5,CAJAMARCA,0.443,2022
6,CALLAO,0.308,2022
7,CUSCO,0.216,2022
8,HUANCAVELICA,0.374,2022
9,HUANUCO,0.422,2022
10,ICA,0.051,2022
11,JUNIN,0.215,2022
12,LA LIBERTAD,0.284,2022
13,LAMBAYEQUE,0.141,2022
14,LIMA,0.269,2022
15,LORETO,0.398,2022
16,MADRE DE DIOS,0.136,2022
17,MOQUEGUA,0.128,2022
18,PASCO,0.401,2022
19,PIURA,0.304,2022
20,PUNO,0.41,2022
21,SAN MARTIN,0.253,2022
22,TACNA,0.235,2022
23,TUMBES,0.248,2022
24,UCAYALI,0.225,2022
