Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.349,2017
1,ANCASH,0.224,2017
2,APURIMAC,0.359,2017
3,AREQUIPA,0.081,2017
4,AYACUCHO,0.356,2017
5,CAJAMARCA,0.475,2017
6,CALLAO,0.16,2017
7,CUSCO,0.252,2017
8,HUANCAVELICA,0.389,2017
9,HUANUCO,0.343,2017
10,ICA,0.033,2017
11,JUNIN,0.212,2017
12,LA LIBERTAD,0.235,2017
13,LAMBAYEQUE,0.185,2017
14,LIMA,0.13,2017
15,LORETO,0.353,2017
16,MADRE DE DIOS,0.046,2017
17,MOQUEGUA,0.092,2017
18,PASCO,0.385,2017
19,PIURA,0.287,2017
20,PUNO,0.327,2017
21,SAN MARTIN,0.261,2017
22,TACNA,0.139,2017
23,TUMBES,0.118,2017
24,UCAYALI,0.139,2017
