Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.305,2019
1,ANCASH,0.175,2019
2,APURIMAC,0.291,2019
3,AREQUIPA,0.6,2019
4,AYACUCHO,0.394,2019
5,CAJAMARCA,0.38,2019
6,CALLAO,0.143,2019
7,CUSCO,0.23,2019
8,HUANCAVELICA,0.369,2019
9,HUANUCO,0.294,2019
10,ICA,0.026,2019
11,JUNIN,0.207,2019
12,LA LIBERTAD,0.247,2019
13,LAMBAYEQUE,0.102,2019
14,LIMA,0.142,2019
15,LORETO,0.322,2019
16,MADRE DE DIOS,0.092,2019
17,MOQUEGUA,0.092,2019
18,PASCO,0.303,2019
19,PIURA,0.242,2019
20,PUNO,0.347,2019
21,SAN MARTIN,0.254,2019
22,TACNA,0.133,2019
23,TUMBES,0.137,2019
24,UCAYALI,0.123,2019
