Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.397,2016
1,ANCASH,0.217,2016
2,APURIMAC,0.382,2016
3,AREQUIPA,0.083,2016
4,AYACUCHO,0.375,2016
5,CAJAMARCA,0.482,2016
6,CALLAO,0.106,2016
7,CUSCO,0.204,2016
8,HUANCAVELICA,0.447,2016
9,HUANUCO,0.327,2016
10,ICA,0.03,2016
11,JUNIN,0.175,2016
12,LA LIBERTAD,0.245,2016
13,LAMBAYEQUE,0.148,2016
14,LIMA,0.11,2016
15,LORETO,0.342,2016
16,MADRE DE DIOS,0.075,2016
17,MOQUEGUA,0.096,2016
18,PASCO,0.358,2016
19,PIURA,0.307,2016
20,PUNO,0.348,2016
21,SAN MARTIN,0.235,2016
22,TACNA,0.146,2016
23,TUMBES,0.119,2016
24,UCAYALI,0.127,2016
