Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.301,2021
1,ANCASH,0.219,2021
2,APURIMAC,0.283,2021
3,AREQUIPA,0.12,2021
4,AYACUCHO,0.36,2021
5,CAJAMARCA,0.397,2021
6,CALLAO,0.285,2021
7,CUSCO,0.22,2021
8,HUANCAVELICA,0.412,2021
9,HUANUCO,0.355,2021
10,ICA,0.066,2021
11,JUNIN,0.264,2021
12,LA LIBERTAD,0.268,2021
13,LAMBAYEQUE,0.14,2021
14,LIMA,0.244,2021
15,LORETO,0.346,2021
16,MADRE DE DIOS,0.077,2021
17,MOQUEGUA,0.102,2021
18,PASCO,0.421,2021
19,PIURA,0.253,2021
20,PUNO,0.426,2021
21,SAN MARTIN,0.203,2021
22,TACNA,0.218,2021
23,TUMBES,0.193,2021
24,UCAYALI,0.17,2021
