Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.361,2020
1,ANCASH,0.298,2020
2,APURIMAC,0.355,2020
3,AREQUIPA,0.186,2020
4,AYACUCHO,0.464,2020
5,CAJAMARCA,0.425,2020
6,CALLAO,0.35,2020
7,CUSCO,0.321,2020
8,HUANCAVELICA,0.477,2020
9,HUANUCO,0.426,2020
10,ICA,0.085,2020
11,JUNIN,0.314,2020
12,LA LIBERTAD,0.319,2020
13,LAMBAYEQUE,0.158,2020
14,LIMA,0.266,2020
15,LORETO,0.331,2020
16,MADRE DE DIOS,0.113,2020
17,MOQUEGUA,0.182,2020
18,PASCO,0.448,2020
19,PIURA,0.35,2020
20,PUNO,0.425,2020
21,SAN MARTIN,0.26,2020
22,TACNA,0.232,2020
23,TUMBES,0.326,2020
24,UCAYALI,0.212,2020
