Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.513,2014
1,ANCASH,0.239,2014
2,APURIMAC,0.426,2014
3,AREQUIPA,0.078,2014
4,AYACUCHO,0.474,2014
5,CAJAMARCA,0.507,2014
6,CALLAO,0.137,2014
7,CUSCO,0.187,2014
8,HUANCAVELICA,0.523,2014
9,HUANUCO,0.4,2014
10,ICA,0.041,2014
11,JUNIN,0.182,2014
12,LA LIBERTAD,0.274,2014
13,LAMBAYEQUE,0.247,2014
14,LIMA,0.116,2014
15,LORETO,0.352,2014
16,MADRE DE DIOS,0.073,2014
17,MOQUEGUA,0.118,2014
18,PASCO,0.39,2014
19,PIURA,0.296,2014
20,PUNO,0.328,2014
21,SAN MARTIN,0.284,2014
22,TACNA,0.118,2014
23,TUMBES,0.15,2014
24,UCAYALI,0.139,2014
