Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.423,2015
1,ANCASH,0.24,2015
2,APURIMAC,0.387,2015
3,AREQUIPA,0.082,2015
4,AYACUCHO,0.407,2015
5,CAJAMARCA,0.508,2015
6,CALLAO,0.115,2015
7,CUSCO,0.176,2015
8,HUANCAVELICA,0.452,2015
9,HUANUCO,0.356,2015
10,ICA,0.05,2015
11,JUNIN,0.191,2015
12,LA LIBERTAD,0.259,2015
13,LAMBAYEQUE,0.208,2015
14,LIMA,0.109,2015
15,LORETO,0.35,2015
16,MADRE DE DIOS,0.071,2015
17,MOQUEGUA,0.078,2015
18,PASCO,0.385,2015
19,PIURA,0.294,2015
20,PUNO,0.346,2015
21,SAN MARTIN,0.276,2015
22,TACNA,0.151,2015
23,TUMBES,0.13,2015
24,UCAYALI,0.114,2015
