Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.445,2012
1,ANCASH,0.274,2012
2,APURIMAC,0.555,2012
3,AREQUIPA,0.119,2012
4,AYACUCHO,0.526,2012
5,CAJAMARCA,0.542,2012
6,CALLAO,0.187,2012
7,CUSCO,0.219,2012
8,HUANCAVELICA,0.495,2012
9,HUANUCO,0.449,2012
10,ICA,0.081,2012
11,JUNIN,0.237,2012
12,LA LIBERTAD,0.306,2012
13,LAMBAYEQUE,0.252,2012
14,LIMA,0.141,2012
15,LORETO,0.418,2012
16,MADRE DE DIOS,0.024,2012
17,MOQUEGUA,0.096,2012
18,PASCO,0.419,2012
19,PIURA,0.349,2012
20,PUNO,0.359,2012
21,SAN MARTIN,0.296,2012
22,TACNA,0.117,2012
23,TUMBES,0.117,2012
24,UCAYALI,0.132,2012
