Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.446,2011
1,ANCASH,0.272,2011
2,APURIMAC,0.57,2011
3,AREQUIPA,0.115,2011
4,AYACUCHO,0.527,2011
5,CAJAMARCA,0.558,2011
6,CALLAO,0.198,2011
7,CUSCO,0.297,2011
8,HUANCAVELICA,0.546,2011
9,HUANUCO,0.541,2011
10,ICA,0.109,2011
11,JUNIN,0.241,2011
12,LA LIBERTAD,0.294,2011
13,LAMBAYEQUE,0.304,2011
14,LIMA,0.152,2011
15,LORETO,0.481,2011
16,MADRE DE DIOS,0.041,2011
17,MOQUEGUA,0.109,2011
18,PASCO,0.407,2011
19,PIURA,0.352,2011
20,PUNO,0.391,2011
21,SAN MARTIN,0.31,2011
22,TACNA,0.166,2011
23,TUMBES,0.139,2011
24,UCAYALI,0.135,2011
