Indice,DEPARTAMEN,POBREZA,AÑO
0,AMAZONAS,0.473,2013
1,ANCASH,0.235,2013
2,APURIMAC,0.428,2013
3,AREQUIPA,0.091,2013
4,AYACUCHO,0.519,2013
5,CAJAMARCA,0.529,2013
6,CALLAO,0.135,2013
7,CUSCO,0.188,2013
8,HUANCAVELICA,0.466,2013
9,HUANUCO,0.401,2013
10,ICA,0.047,2013
11,JUNIN,0.195,2013
12,LA LIBERTAD,0.295,2013
13,LAMBAYEQUE,0.247,2013
14,LIMA,0.128,2013
15,LORETO,0.374,2013
16,MADRE DE DIOS,0.038,2013
17,MOQUEGUA,0.087,2013
18,PASCO,0.466,2013
19,PIURA,0.351,2013
20,PUNO,0.324,2013
21,SAN MARTIN,0.3,2013
22,TACNA,0.118,2013
23,TUMBES,0.127,2013
24,UCAYALI,0.134,2013
